pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
6zkb  1      Electron Microscopy 2.9       401   N     -59.8149523116  -105.3336150409 151.7586836075  -132.1577131084 -172.9753738339 -45.1484469151  
6zkb  1      Electron Microscopy 2.9       402   N     -34.4869296286  -154.2973351821 -166.1543228597 -18.2900649169  -143.4546825112 177.1361671269  
6zkb  1      Electron Microscopy 2.9       201   V     -104.1550871366 112.2553767281  135.1504931244  23.1135557756   81.5534041620   82.9653349938   
6zkb  1      Electron Microscopy 2.9       501   o     -136.6689208898 139.1185835698  123.1670998369  -61.4798156483  112.2494320199  66.9916590920   
6zkb  1      Electron Microscopy 2.9       201   A     76.4720220758   -94.9616721243  139.9579077176  149.9784105527  -122.5104254540 60.7550784702   
6zkb  1      Electron Microscopy 2.9       201   J     101.5816459368  101.0680895670  101.3914341156  -167.0866451075 144.2278402120  156.5902229241  
6zkb  1      Electron Microscopy 2.9       202   J     55.7301354532   98.0504747895   -79.2572835631  -154.0724810872 124.0680559855  69.8360288239   
1m57  1      X-ray diffraction   3.0       2009  A     155.2516906255  -114.9489277439 144.2197534652  -115.5361567586 -149.5659997338 -152.0821849583 
1m57  1      X-ray diffraction   3.0       2012  A     158.6135097165  150.8171305530  89.2574231903   146.1582598985  162.9592325069  -135.1868485108 
1m57  1      X-ray diffraction   3.0       2008  C     138.1624296141  -97.9188245314  139.1801845181  -8.8820533039   150.7385888719  141.0565278364  
1m57  1      X-ray diffraction   3.0       2010  C     143.7212763422  -54.1406338989  104.1618939662  105.7763618471  168.9603796797  38.9242713250   
1m57  1      X-ray diffraction   3.0       2013  C     -149.2719350789 84.2406995706   141.0859211575  25.5146831774   -158.2870191863 116.5697080735  
1m57  1      X-ray diffraction   3.0       2011  D     168.0403415326  -120.4073103531 146.2335892000  160.2747147067  -132.2279182195 -64.1452699869  
1m57  1      X-ray diffraction   3.0       3009  G     149.5628771378  -134.2801272274 137.5524156453  -89.3074650251  -162.7219408277 -154.1521640341 
1m57  1      X-ray diffraction   3.0       3012  G     156.2657308403  142.2005555049  87.6844310806   128.6410710813  159.7688125297  -120.9626952535 
1m57  1      X-ray diffraction   3.0       3008  I     152.4280199588  -101.9696306533 144.2924369989  -17.6202187836  159.2288832500  140.2228311274  
1m57  1      X-ray diffraction   3.0       3010  I     143.8138048513  -49.8881624272  101.9760521746  119.6166037323  175.5382247478  24.8639757920   
1m57  1      X-ray diffraction   3.0       3013  I     -156.3488845544 88.0959530185   142.6529205560  28.5923705996   -161.1276027779 117.7196866805  
1m57  1      X-ray diffraction   3.0       3011  J     166.0787628232  -110.0072898479 147.0219205318  162.0224208170  -138.2858027165 -62.4181586208  
1n69  1      X-ray diffraction   2.2       300   A     119.4475052889  100.9845244705  -149.8032667827 142.6139825109  177.4501063424  133.0363607398  
1m56  2      X-ray diffraction   2.3       2009  A     143.5057325429  -99.5254426202  146.5193659867  -83.7844978583  -160.1906402510 -168.8513366337 
1m56  2      X-ray diffraction   2.3       2012  A     147.7847748574  149.0594745200  95.9637121327   139.0970357050  156.5014370303  -120.8666404067 
1m56  2      X-ray diffraction   2.3       2008  C     135.7213400062  -90.9600989418  141.6814073735  -5.3498102822   146.6759725572  143.6460124955  
1m56  2      X-ray diffraction   2.3       2010  C     143.4781441752  -59.9481869427  106.8832443063  103.2624113133  137.9685985978  49.3691649029   
1m56  2      X-ray diffraction   2.3       2013  C     -171.6840713676 88.8446350357   144.0724612141  26.4811584286   -167.3318513838 130.6918301769  
1m56  2      X-ray diffraction   2.3       2011  D     173.3414068539  -152.9412619667 148.6712465466  167.3618574126  -153.0950883135 -54.7123962480  
1m56  2      X-ray diffraction   2.3       3009  G     136.3998197190  -100.9789940110 147.7487765833  -87.5855724341  -157.4526485915 -164.4496486312 
1m56  2      X-ray diffraction   2.3       3012  G     153.5779652860  150.5947503298  90.7554236555   123.0126659685  162.9519543816  -108.8731418468 
1m56  2      X-ray diffraction   2.3       3008  I     138.9056011505  -84.0717913088  142.2022896976  -9.1116746988   148.0169449845  144.4079130559  
1m56  2      X-ray diffraction   2.3       3010  I     142.0231977804  -46.6978277167  103.7117662052  101.6303437522  145.4419296909  46.3172487513   
1m56  2      X-ray diffraction   2.3       3013  I     -168.5939056904 86.1235758312   146.6171541216  21.6747487687   -160.1518771962 134.5470465407  
